Model, Load, L, L11, T, T1, h4, T2, h7, Treatment Combo, Max Mises Stress (Pa), Max Displacement (cm), Max Strain, Node 1 Displacement (cm), Node 2 Displacement (cm), SAV (1/cm)
99, 1, 20.0, 0.56, 0.2, 0.1, 1.2, 0.35, 0.0, abf, 1052943680, 2.4662, 0.2040, 1.5106, 1.2718, 60.06765
100, 1, 20.0, 0.56, 0.2, 0.1, 1.2, 0.35, 0.6, abfg, 1143273472, 2.2626, 0.2123, 1.3076, 1.0091, 59.97603
101, 1, 20.0, 0.56, 0.2, 0.1, 1.8, 0.15, 0.0, abe, 3123683072, 6.7420, 0.4199, 4.0834, 4.8265, 92.30403
102, 1, 20.0, 0.56, 0.2, 0.1, 1.8, 0.15, 0.6, abeg, 2859997440, 6.0240, 0.4023, 3.3847, 3.7290, 91.57573
103, 1, 20.0, 0.56, 0.2, 0.1, 1.8, 0.35, 0.0, abef, 1634973696, 4.0656, 0.3078, 2.5131, 2.9761, 60.69907
104, 1, 20.0, 0.56, 0.2, 0.1, 1.8, 0.35, 0.6, abefg, 1677219840, 3.5689, 0.3311, 2.0732, 2.2972, 60.38577
105, 1, 20.0, 0.56, 0.2, 0.4, 1.2, 0.15, 0.0, abd, 1048035776, 1.4286, 0.1533, 1.1358, 0.9446, 33.17982
106, 1, 20.0, 0.56, 0.2, 0.4, 1.2, 0.15, 0.6, abdg, 1108795264, 1.1760, 0.1739, 0.9268, 0.6824, 32.98520
107, 1, 20.0, 0.56, 0.2, 0.4, 1.2, 0.35, 0.0, abdf, 469352544, 0.9977, 0.0942, 0.7837, 0.6506, 29.30427
108, 1, 20.0, 0.56, 0.2, 0.4, 1.2, 0.35, 0.6, abdfg, 419505984, 0.8310, 0.0887, 0.6433, 0.4745, 29.17283
109, 1, 20.0, 0.56, 0.2, 0.4, 1.8, 0.15, 0.0, abde, 1104570368, 2.3858, 0.2029, 1.8820, 2.2641, 34.24005
110, 1, 20.0, 0.56, 0.2, 0.4, 1.8, 0.15, 0.6, abdeg, 1651032704, 1.8203, 0.2531, 1.4431, 1.5824, 33.84722
111, 1, 20.0, 0.56, 0.2, 0.4, 1.8, 0.35, 0.0, abdef, 647223744, 1.6491, 0.1227, 1.2890, 1.5374, 30.02886
112, 1, 20.0, 0.56, 0.2, 0.4, 1.8, 0.35, 0.6, abdefg, 639969280, 1.2795, 0.1220, 0.9964, 1.0841, 29.74448
113, 1, 20.0, 0.56, 0.4, 0.1, 1.2, 0.15, 0.0, abc, 448188832, 0.3973, 0.0605, 0.2408, 0.2149, 42.77977
114, 1, 20.0, 0.56, 0.4, 0.1, 1.2, 0.15, 0.6, abcg, 497823328, 0.3428, 0.0650, 0.2021, 0.1680, 42.65551
115, 1, 20.0, 0.56, 0.4, 0.1, 1.2, 0.35, 0.0, abcf, 296114240, 0.2587, 0.0401, 0.1519, 0.1382, 24.88633
116, 1, 20.0, 0.56, 0.4, 0.1, 1.2, 0.35, 0.6, abcfg, 288655168, 0.2250, 0.0422, 0.1284, 0.1095, 24.83182
117, 1, 20.0, 0.56, 0.4, 0.1, 1.8, 0.15, 0.0, abce, 716528000, 0.6650, 0.0965, 0.4001, 0.4846, 43.39133
